Texto en /entradaOCR/IMG_20230615_085201289.jpg:
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
3	1	5	1	0	0	0	432	0	61	-1	
4	1	5	1	1	0	0	432	0	61	-1	
5	1	5	1	1	1	0	432	0	61	95.000000	 
2	1	6	0	0	0	0	600	0	82	-1	
3	1	6	1	0	0	0	600	0	82	-1	
4	1	6	1	1	0	0	600	0	82	-1	
5	1	6	1	1	1	0	600	0	82	95.000000	 
2	1	7	0	0	0	0	785	0	327	-1	
3	1	7	1	0	0	0	785	0	327	-1	
4	1	7	1	1	0	0	785	0	327	-1	
5	1	7	1	1	1	0	785	0	327	95.000000	 
2	1	8	0	0	0	1890	1010	641	1620	-1	
3	1	8	1	0	0	1890	1010	641	1620	-1	
4	1	8	1	1	0	2502	2494	29	136	-1	
5	1	8	1	1	1	2502	2494	29	136	17.550674	ee
4	1	8	1	2	0	2471	1135	24	1466	-1	
5	1	8	1	2	1	2475	1135	8	5	0.000000	'
5	1	8	1	2	2	2476	1207	7	24	42.925308	_
5	1	8	1	2	3	2482	1356	4	8	15.947868	™
5	1	8	1	2	4	2481	1468	7	82	9.240196	ice
5	1	8	1	2	5	2484	1602	5	63	17.317810	A
5	1	8	1	2	6	2483	1678	9	99	25.475151	NE
5	1	8	1	2	7	2482	1786	9	73	15.208138	EI
5	1	8	1	2	8	2491	1882	2	40	18.379517	RTA
5	1	8	1	2	9	2467	1941	32	33	32.730469	NAS
5	1	8	1	2	10	2467	1981	32	27	9.181053	SEN
5	1	8	1	2	11	2467	2018	32	73	12.958801	ATR
5	1	8	1	2	12	2482	2117	12	35	23.453156	CE
5	1	8	1	2	13	2479	2161	15	96	21.749451	SEA,
5	1	8	1	2	14	2471	2496	19	22	2.038788	%
5	1	8	1	2	15	2475	2542	26	59	44.372818	be
4	1	8	1	3	0	2247	2566	23	12	-1	
5	1	8	1	3	1	2247	2566	23	12	71.402512	4
4	1	8	1	4	0	2171	1022	30	174	-1	
5	1	8	1	4	1	2165	1022	24	38	53.936623	iy
5	1	8	1	4	2	2182	1185	19	11	0.000000	¥
4	1	8	1	5	0	2030	1010	37	381	-1	
5	1	8	1	5	1	2036	1010	26	27	0.000000	+#
5	1	8	1	5	2	2030	1067	28	26	0.000000	hi
5	1	8	1	5	3	2043	1125	15	6	59.013062	;
5	1	8	1	5	4	2056	1385	11	6	18.439087	®
4	1	8	1	6	0	1907	1060	48	833	-1	
5	1	8	1	6	1	1907	1060	39	8	0.000000	{
5	1	8	1	6	2	1922	1182	16	36	43.094963	eg
5	1	8	1	6	3	1926	1413	9	8	52.843632	i
5	1	8	1	6	4	1936	1448	19	8	52.843632	7
5	1	8	1	6	5	1917	1792	29	49	34.518555	a
5	1	8	1	6	6	1926	1880	29	13	68.792450	‘
4	1	8	1	7	0	1890	1059	42	153	-1	
5	1	8	1	7	1	1890	1059	16	10	92.458931	é
5	1	8	1	7	2	1907	1149	25	6	0.909279	!
5	1	8	1	7	3	1899	1193	23	19	0.000000	.
2	1	9	0	0	0	0	768	0	564	-1	
3	1	9	1	0	0	0	768	0	564	-1	
4	1	9	1	1	0	0	768	0	564	-1	
5	1	9	1	1	1	0	768	0	564	95.000000	 
2	1	10	0	0	0	1137	672	181	811	-1	
3	1	10	1	0	0	1137	672	181	818	-1	
4	1	10	1	1	0	1206	672	112	811	-1	
5	1	10	1	1	1	1251	672	67	606	17.382362	Sapien
5	1	10	1	1	2	1268	1312	33	101	18.519012	tat
5	1	10	1	1	3	1206	1458	9	25	37.555164	|
4	1	10	1	2	0	1137	677	76	738	-1	
5	1	10	1	2	1	1137	677	76	366	2.303589	MODOOOT
5	1	10	1	2	2	1145	1073	64	83	18.828629	LT
5	1	10	1	2	3	1147	1179	64	85	0.000000	CT
5	1	10	1	2	4	1149	1280	65	210	0.000000	bozo
2	1	11	0	0	0	0	1389	0	559	-1	
3	1	11	1	0	0	0	1389	0	559	-1	
4	1	11	1	1	0	0	1389	0	559	-1	
5	1	11	1	1	1	0	1389	0	559	95.000000	 
2	1	12	0	0	0	677	1087	196	1098	-1	
3	1	12	1	0	0	677	1087	196	1098	-1	
4	1	12	1	1	0	797	1155	76	940	-1	
5	1	12	1	1	1	797	1155	76	421	0.000000	K1aniv
5	1	12	1	1	2	793	1487	84	91	0.000000	is
5	1	12	1	1	3	807	1699	64	396	0.000000	WwZidyuvo
4	1	12	1	2	0	677	1087	78	1098	-1	
5	1	12	1	2	1	677	1087	65	421	18.715942	IisZiddv>
5	1	12	1	2	2	683	1551	72	634	25.421150	OCULNADIAdSsd
2	1	13	0	0	0	432	1469	175	321	-1	
3	1	13	1	0	0	432	1469	175	321	-1	
4	1	13	1	1	0	587	1616	20	21	-1	
5	1	13	1	1	1	587	1616	20	21	13.343391	®
4	1	13	1	2	0	561	1477	16	257	-1	
5	1	13	1	2	1	564	1477	4	8	7.462860	%
5	1	13	1	2	2	561	1543	14	34	45.859837	te
5	1	13	1	2	3	569	1648	3	3	16.763771	:
5	1	13	1	2	4	564	1704	13	30	27.681755	r%
4	1	13	1	3	0	518	1480	57	310	-1	
5	1	13	1	3	1	518	1480	51	94	42.096901	ie
5	1	13	1	3	2	522	1619	48	44	45.882904	By
5	1	13	1	3	3	529	1693	46	97	21.289978	de
4	1	13	1	4	0	515	1477	20	312	-1	
5	1	13	1	4	1	517	1477	18	96	21.456100	eee
5	1	13	1	4	2	515	1728	16	61	50.529945	ae
4	1	13	1	5	0	474	1469	24	319	-1	
5	1	13	1	5	1	475	1469	7	9	0.000000	»
5	1	13	1	5	2	477	1572	15	23	31.666138	+
5	1	13	1	5	3	471	1602	26	23	31.260468	ee
5	1	13	1	5	4	474	1728	24	60	29.694176	ae
4	1	13	1	6	0	444	1474	45	316	-1	
5	1	13	1	6	1	452	1474	37	113	0.000000	OBE
5	1	13	1	6	2	444	1609	33	58	34.889839	iPS
5	1	13	1	6	3	451	1700	33	90	23.937592	fee
4	1	13	1	7	0	432	1476	21	278	-1	
5	1	13	1	7	1	441	1476	11	11	35.505783	wg
5	1	13	1	7	2	434	1558	17	28	23.608376	oe
5	1	13	1	7	3	434	1738	8	16	48.407150	Ri
2	1	14	0	0	0	0	0	0	3000	-1	
3	1	14	1	0	0	0	0	0	3000	-1	
4	1	14	1	1	0	0	0	0	3000	-1	
5	1	14	1	1	1	0	0	0	3000	95.000000	 
4	1	14	1	2	0	0	2944	0	56	-1	
5	1	14	1	2	1	0	2944	0	56	95.000000	 
